Description,Category,Amount,Currency
Dk-Ind11.08,Sale of Goods,205.83,DKK
Dk-Ind11.08,Sale of Goods,2688.18,DKK
21904193MI 1030000769109918 ROLLZONE*,Inventory / Equipment,-54.45,EUR
Advis 122206070902363,Sale of Goods,1663.02,DKK
Dk3dsf11.05,Sale of Goods,845.74,DKK
Dk-Ind08.08,Sale of Goods,217.5,DKK
Dk-Ind03.04,Sale of Goods,331.5,DKK
Dk-Ind23.05,Sale of Goods,273.7,DKK
"Snap, 310-399-3339",Marketing and advertising,-3.79,DKK
Dk-Ind09.07,Sale of Goods,410.8,DKK
Dk-Ind01.06,Sale of Goods,214.4,DKK
Advis 122206161402042,Sale of Goods,0.0,DKK
Dk-Ind23.06,Sale of Goods,666.4,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind10.08,Sale of Goods,213.0,DKK
Dk-Ind19.05,Sale of Goods,151.75,DKK
M15154069MH9QYD6 1150014541013526 23501 interlinex.com,Inventory / Equipment,-1589.94,EUR
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
"Shopify* 176551785, Dublin",Software and subscription services,-2357.53,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk-Ind04.07,Sale of Goods,434.2,DKK
Advis 122303101202374 / OVERFØRSEL,Sale of Goods,113.28,DKK
Postering,Shipping & Logistics,-105.0,DKK
Udland - GUANGZHOU BEAUTYWELLNESS HEALTH,Inventory / Equipment,-35254.29,DKK
Dk-Ind14.04,Sale of Goods,518.08,DKK
Dk-Ind15.06,Sale of Goods,346.35,DKK
"Clearing: CLEARING-20234657050 (period Jun 202 / Funds: 327,00",Sale of Goods,327.0,EUR
LeverandørService 53821MXNEY APS,Loans/ Debts,-12643.92,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
"FACEBK XGUJXLFXC2, fb.me/ads",Marketing and advertising,-60.0,DKK
Dk3dsf22.05,Sale of Goods,352.9,DKK
MobilePay BilBasen,Sale of Goods,-548.0,DKK
Udland - GUANGZHOU BEAUTYWELLNESS HEALTH,Inventory / Equipment,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind03.04,Sale of Goods,345.1,DKK
Pharma Nord,Inventory / Equipment,-10573.89,DKK
Dk-Ind04.07,Sale of Goods,290.8,DKK
ALLERGICA,Inventory / Equipment,-1284.56,DKK
Dk-Ind15.05,Sale of Goods,506.5,DKK
Dk-Ind17.04,Sale of Goods,1076.9,DKK
2023-14418,Transfer,-5075.95,EUR
Dk-Ind09.07,Sale of Goods,345.75,DKK
Udland - GUANGZHOU BAIYUN TUYING IC,Inventory / Equipment,-10603.76,DKK
Dk3dsf22.07,Sale of Goods,517.3,DKK
Dk-Ind06.07,Sale of Goods,344.4,DKK
"Ads3297518833, 650-253-0000",Marketing and advertising,-6000.0,DKK
7090420,Debit-/Credit payments,-60.0,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,0.0,DKK
M15154069MGVQZES 1150014178081256 23336 interlinex.com,Inventory / Equipment,-2952.4,EUR
Dk-Ind11.05,Sale of Goods,182.7,DKK
"FACEBK CL9CJPPTK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
-100.00 EUR to Mohammad Umair,Nonbusiness costs,-100.0,EUR
Dk-Ind07.08,Sale of Goods,755.33,DKK
21960193MI 1030000770552630 ROLLZONE*,Inventory / Equipment,-18.15,EUR
Dk-Ind08.08,Sale of Goods,99.4,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Udland - GUANGZHOU BEAUTYWELLNESS,Inventory / Equipment,0.0,DKK
Advis 122209221402089,Sale of Goods,79831.33,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,-1339.38,DKK
Dk-Ind30.05,Sale of Goods,234.45,DKK
Advis 122212131202573,Sale of Goods,965.69,DKK
Dk-Ind04.08,Sale of Goods,115.45,DKK
Dk-Ind01.05,Sale of Goods,115.45,DKK
Postering,Shipping & Logistics,-90.0,DKK
-250.00 EUR to Mohammad Umair,Nonbusiness costs,-250.0,EUR
Dk-Ind25.05,Sale of Goods,76.15,DKK
Dk-Ind16.06,Sale of Goods,198.7,DKK
CAMETTE APS,Inventory / Equipment,-8026.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Nets,Sale of Goods,6567.81,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,-4000.0,DKK
10852425 Txid 735134851 Multisafepay Payout merchant:10852425 10-06-2023,Sale of Goods,2848.63,EUR
Dk-Ind25.05,Sale of Goods,367.3,DKK
Dk3dsf07.06,Sale of Goods,627.2,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Postering,Shipping & Logistics,-105.0,DKK
Dk-Ind08.08,Sale of Goods,628.9,DKK
"FACEBK 658FFS7TK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
Dk3dsf20.03,Sale of Goods,2408.8,DKK
Dk3dsf14.08,Sale of Goods,230.9,DKK
Postering,Shipping & Logistics,1374.75,DKK
Dk-Ind08.06,Sale of Goods,433.75,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk3dsf22.07,Sale of Goods,207.4,DKK
Dk-Ind18.07,Sale of Goods,239.95,DKK
Dk-Ind24.04,Sale of Goods,1772.35,DKK
Advis 122302151209222 / OVERFØRSEL,Transfer,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk3dsf30.03,Sale of Goods,1820.2,DKK
Dk3dsf04.08,Sale of Goods,155.93,DKK
2900.00 EUR to UA Trading Company,Inventory / Equipment,2900.0,EUR
-1800.00 EUR to UA Trading Company,Inventory / Equipment,-1800.0,EUR
Dk-Ind16.03,Sale of Goods,189.3,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,-2191.25,DKK
Straksoverførsel pr 04-07-2023 til 7932 0001129268,Transfer,-2500.0,DKK
"Sikkerhedsstyre, Esbjerg",Nonbusiness costs,-105.0,DKK
Dk-Ind18.07,Sale of Goods,187.0,DKK
Dk-Ind01.08,Sale of Goods,509.9,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,-4000.0,DKK
Advis 122306231202261 / Credorax Bank Limite,Sale of Goods,4166.54,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Advis 122208041402076,Sale of Goods,67903.37,DKK
Pricerunner,Marketing and advertising,-201.25,DKK
MobilePay A.Vogel Danmark A/S,Sale of Goods,-5245.4,DKK
Dk-Ind01.05,Sale of Goods,185.55,DKK
"FACEBK DQN6CMXWC2, fb.me/ads",Marketing and advertising,-150.0,DKK
"Kapwing Pro Plan, Newark",Software and subscription services,-137.89,DKK
Dk-Ind12.08,Sale of Goods,1221.2,DKK
Dk3dsf01.05,Sale of Goods,73.58,DKK
Dk-Ind11.08,Sale of Goods,538.53,DKK
Udland - ADTRACTION AB,Marketing and advertising,0.0,DKK
"Ads2091344156, 650-253-0000",Marketing and advertising,-42.16,DKK
Dk3dsf24.03,Sale of Goods,278.7,DKK
Anyday Settlement,Sale of Goods,0.0,DKK
Dk3dsf09.06,Sale of Goods,671.85,DKK
Dk-Ind08.05,Sale of Goods,569.53,DKK
Dk3dsf07.08,Sale of Goods,548.4,DKK
Dk-Ind10.05,Sale of Goods,600.88,DKK
"Pensopay A/S, Vejle",Payment processing,0.0,DKK
Dk-Ind17.05,Sale of Goods,152.7,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Udland - GUANGZHOU BEAUTYWELLNESS,Inventory / Equipment,-35274.56,DKK
[ViaBill] Overførsel,Sale of Goods,349.35,DKK
Dk-Ind24.04,Sale of Goods,234.45,DKK
Dk-Ind19.07,Sale of Goods,444.63,DKK
Notanr,Debit-/Credit payments,-25.0,DKK
Dk-Ind17.08,Sale of Goods,143.1,DKK
Dk-Ind27.03,Sale of Goods,412.1,DKK
Dk-Ind19.06,Sale of Goods,1372.68,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
"FACEBK SR23YTKZK2, fb.me/ads,",Marketing and advertising,-3000.0,DKK
Dk3dsf22.07,Sale of Goods,108.6,DKK
Dk3dsf11.04,Sale of Goods,196.9,DKK
"FiverrEU, Nicosia",Professional fees,0.0,DKK
Udland - GUANGZHOU BEAUTYWELLNESS,Inventory / Equipment,0.0,DKK
-50.00 EUR to Mohammad Umair,Nonbusiness costs,-50.0,EUR
Dk3dsf11.05,Sale of Goods,258.25,DKK
Nets,Sale of Goods,6910.64,DKK
Dk3dsf08.05,Sale of Goods,366.76,DKK
Postering,Shipping & Logistics,-105.0,DKK
Advis 122206231402044,Sale of Goods,0.0,DKK
526567002178122,Debit-/Credit payments,-308.37,DKK
Dk-Ind11.05,Sale of Goods,304.4,DKK
Dk3dsf20.06,Sale of Goods,303.6,DKK
Dk3dsf23.05,Sale of Goods,638.3,DKK
Dk-Ind04.07,Sale of Goods,291.9,DKK
10852425 Txid 739281947 Multisafepay Payout merchant:10852425 21-06-2023,Sale of Goods,3202.11,EUR
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind10.08,Sale of Goods,1074.8,DKK
Dk-Ind07.07,Sale of Goods,950.08,DKK
Dk-Ind10.08,Sale of Goods,758.6,DKK
Postering,Shipping & Logistics,-230.0,DKK
"Sikkerhedsstyre, Esbjerg",Nonbusiness costs,-105.0,DKK
Dk-Ind22.03,Sale of Goods,466.5,DKK
Dk-Ind26.07,Sale of Goods,494.8,DKK
2500.00 EUR to UA Trading Company,Inventory / Equipment,2500.0,EUR
Dk-Ind19.04,Sale of Goods,204.2,DKK
"FACEBK Z9FDVLXTK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
Dk3dsf20.08,Sale of Goods,620.8,DKK
"Battery Empire Krakow, PL",Inventory / Equipment,-244.81,EUR
AA23207700122 0051100348044716 Opwaardering voor Simyo,Inventory / Equipment,-0.01,EUR
LeverandørService 53821MXNEY APS,Loans/ Debts,-9108.88,DKK
Dk3dsf16.05,Sale of Goods,645.3,DKK
Helsam,Inventory / Equipment,-19308.37,DKK
Dk-Ind03.08,Sale of Goods,410.33,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk-Ind26.05,Sale of Goods,616.4,DKK
MobilePay Urban Food,Sale of Goods,-80.0,DKK
"Datafeedwatch, Mijdrecht",Sale of Goods,-369.08,DKK
"ADS4649893433, ccØgoogle.com",Marketing and advertising,-12000.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk3dsf03.04,Sale of Goods,219.45,DKK
Dk-Ind14.07,Sale of Goods,456.1,DKK
Dk-Ind26.06,Sale of Goods,177.65,DKK
Dk-Ind20.08,Sale of Goods,181.0,DKK
"Ads5180743448, 650-253-0000",Marketing and advertising,-1231.11,DKK
Dk-Ind14.06,Sale of Goods,453.75,DKK
Dk-Ind05.04,Sale of Goods,157.65,DKK
Dk3dsf21.07,Sale of Goods,1734.65,DKK
Dk-Ind26.04,Sale of Goods,917.05,DKK
Dk-Ind23.06,Sale of Goods,172.2,DKK
Dk3dsf11.05,Sale of Goods,2694.28,DKK
"FACEBK 2RJCUR3TK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
Advis 122302091203149 / OVERFØRSEL,Transfer,0.0,DKK
Dk3dsf12.08,Sale of Goods,625.5,DKK
20743193MI 1030000750718674 ROLLZONE*,Inventory / Equipment,-145.2,EUR
Dk-Ind12.05,Sale of Goods,991.03,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk3dsf22.03,Sale of Goods,393.25,DKK
22029193MI 1030000771505702 ROLLZONE*,Inventory / Equipment,-190.27,EUR
REFUND,Sale of Goods,1385.17,EUR
Dk-Ind12.05,Sale of Goods,145.95,DKK
Dk-Ind29.03,Sale of Goods,843.75,DKK
overført privat,Transfer,-12000.0,DKK
Dk-Ind12.04,Sale of Goods,274.55,DKK
"Shopify* 175468032, Dublin",Software and subscription services,0.0,DKK
Dk-Ind21.08,Sale of Goods,209.45,DKK
Dk3dsf24.07,Sale of Goods,546.45,DKK
Dk-Ind15.05,Sale of Goods,1793.25,DKK
21102193MI 1030000755433703 ROLLZONE*,Inventory / Equipment,-147.56,EUR
Dk-Ind06.06,Sale of Goods,234.45,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind22.03,Sale of Goods,246.7,DKK
Dk-Ind06.06,Sale of Goods,263.5,DKK
Dk3dsf30.05,Sale of Goods,414.25,DKK
Dk-Ind02.06,Sale of Goods,119.85,DKK
"Shopify* 155143336, Dublin",Software and subscription services,-224.87,DKK
Advis 122307111202225 / Credorax Bank Limite,Sale of Goods,13401.5,DKK
Dk3dsf07.08,Sale of Goods,392.3,DKK
Dk-Ind19.08,Sale of Goods,207.1,DKK
Dk-Ind07.06,Sale of Goods,599.5,DKK
Dk3dsf01.06,Sale of Goods,698.1,DKK
LeverandørService 58696MXNEY FINANCE APS,Loans/ Debts,-6045.64,DKK
SKATTEKONTOEN,VAT and income tax,0.0,DKK
Dk-Ind12.05,Sale of Goods,202.15,DKK
Dk3dsf11.07,Sale of Goods,196.55,DKK
Leverandørservice 56294 SM LOGISTIK APS,Shipping & Logistics,448.75,DKK
Dk3dsf20.03,Sale of Goods,697.0,DKK
Helsam,Inventory / Equipment,-23990.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind28.06,Sale of Goods,218.63,DKK
21564193MI 1030000762698210 ROLLZONE*,Inventory / Equipment,-147.92,EUR
Dk3dsf01.05,Sale of Goods,458.15,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
Dk-Ind04.05,Sale of Goods,252.1,DKK
Dk-Ind05.08,Sale of Goods,104.7,DKK
"OUR gebyr udland 200,00 DKK KRON230523009SWW",Banking Fees,-200.0,DKK
Dk-Ind25.07,Sale of Goods,673.85,DKK
"Klaviyo Inc. Software, Klaviyo.Com",Software and subscription services,0.0,DKK
Dk-Ind11.08,Sale of Goods,641.7,DKK
Dk-Ind02.06,Sale of Goods,273.7,DKK
22113193MI 1030000773046795 ROLLZONE*,Inventory / Equipment,-35.09,EUR
Dk-Ind10.05,Sale of Goods,164.45,DKK
Dk3dsf19.07,Sale of Goods,-72.25,DKK
"Shopify* 155143336, Dublin",Software and subscription services,0.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Nets,Sale of Goods,9482.72,DKK
Dk-Ind21.08,Sale of Goods,209.45,DKK
Dk-Ind19.07,Sale of Goods,636.8,DKK
"Shopify* 159871774, Dublin",Software and subscription services,0.0,DKK
Dk3dsf31.05,Sale of Goods,97.5,DKK
E Billet A/S,Inventory / Equipment,-190.0,DKK
Dk-Ind17.07,Sale of Goods,185.7,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,-4000.0,DKK
10852425 Txid 737456371 Multisafepay Payout merchant:10852425 16-06-2023,Sale of Goods,2359.91,EUR
"Udenlandsk overførsel til Guangzhou Beautywellness Health omregnet fra 6792,07 EUR til kurs 746,741400 KRON23050900891U",Transfer,-50719.2,DKK
Dk-Ind28.07,Sale of Goods,212.15,DKK
Dk-Ind23.08,Sale of Goods,550.85,DKK
Dk-Ind15.06,Sale of Goods,198.65,DKK
Dk3dsf01.05,Sale of Goods,428.65,DKK
21193193MI 1030000757198476 ROLLZONE*,Inventory / Equipment,-189.91,EUR
Dk-Ind18.07,Sale of Goods,821.5,DKK
Dk-Ind24.07,Sale of Goods,161.15,DKK
Dk-Ind17.05,Sale of Goods,771.95,DKK
Pricerunner,Marketing and advertising,0.0,DKK
Dk-Ind28.06,Sale of Goods,602.1,DKK
Dk-Ind02.08,Sale of Goods,234.45,DKK
Dk3dsf10.05,Sale of Goods,269.03,DKK
Dk-Ind07.08,Sale of Goods,194.35,DKK
"Shopify* 148309397, Dublin",Software and subscription services,-221.99,DKK
Dk-Ind21.06,Sale of Goods,213.6,DKK
Dk-Ind23.06,Sale of Goods,483.4,DKK
"Snap, 310-399-3339",Marketing and advertising,-23.39,DKK
Dk-Ind12.05,Sale of Goods,372.8,DKK
Dk-Ind17.05,Sale of Goods,444.35,DKK
Nets,Sale of Goods,6682.87,DKK
20791193MI 1030000751364411 ROLLZONE*,Inventory / Equipment,-168.13,EUR
"Ads4649893433, Internet",Marketing and advertising,-4000.0,DKK
Dk3dsf08.06,Sale of Goods,787.4,DKK
MobilePay,Sale of Goods,-1785.57,DKK
Dk-Ind15.06,Sale of Goods,162.7,DKK
Dk-Ind17.05,Sale of Goods,1591.45,DKK
Dk-Ind18.06,Sale of Goods,791.9,DKK
SVEA FINANS A/S,Loans/ Debts,0.0,DKK
LeverandørService 58696MXNEY FINANCE APS,Loans/ Debts,-5494.54,DKK
"Snap, 310-399-3339",Marketing and advertising,-11.25,DKK
"*Westerschelde Tunn Goes, Nl",Sale of Goods,-5.0,EUR
Dk-Ind16.06,Sale of Goods,5312.95,DKK
Dk-Ind07.06,Sale of Goods,482.85,DKK
A vogel,Inventory / Equipment,-1476.5,DKK
Dk3dsf17.07,Sale of Goods,710.6,DKK
Dk3dsf29.03,Sale of Goods,353.85,DKK
Dk3dsf01.05,Sale of Goods,631.68,DKK
DanDomain A/S,Professional fees,-562.5,DKK
10852425 Txid 749261987 Multisafepay Payout merchant:10852425 17-07-2023,Sale of Goods,3441.46,EUR
20802193MI 1030000751518960 ROLLZONE*,Inventory / Equipment,-19.36,EUR
Dk-Ind01.06,Sale of Goods,1961.5,DKK
Dk-Ind13.04,Sale of Goods,96.5,DKK
Dk-Ind24.03,Sale of Goods,112.7,DKK
DanDomain A/S,Professional fees,-406.25,DKK
Dk3dsf12.05,Sale of Goods,2252.48,DKK
AMZN Mktp DE,Software and subscription services,-3088.7,DKK
Dk-Ind19.04,Sale of Goods,146.45,DKK
Storebæltsforbinde,Nonbusiness costs,-270.0,DKK
Dk3dsf20.06,Sale of Goods,1297.2,DKK
Afdrag varelager,Inventory / Equipment,-1500.0,DKK
Dk-Ind30.05,Sale of Goods,304.9,DKK
"FACEBK C7XLVL7G92, fb.me/ads,",Marketing and advertising,0.0,DKK
Dk-Ind24.03,Sale of Goods,177.6,DKK
Dk3dsf18.06,Sale of Goods,713.8,DKK
"Refund: Microsoft*Store msbill.info, IE",Sale of Goods,1.01,EUR
Postering,Shipping & Logistics,1605.38,DKK
21745193MI 1030000765677575 ROLLZONE*,Inventory / Equipment,-207.21,EUR
Udland - GUANGZHOU BEAUTYWELLNESS,Inventory / Equipment,-35274.56,DKK
LeverandørService 53821MXNEY APS,Loans/ Debts,0.0,DKK
Dk-Ind04.05,Sale of Goods,314.4,DKK
"Gebyr udland 50,00 DKK KRON23053000AJNX",Banking Fees,-50.0,DKK
Dk-Ind29.06,Sale of Goods,281.88,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind13.04,Sale of Goods,472.2,DKK
"Ads4649893433, 650-253-0000",Marketing and advertising,-4000.0,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
089109000580423,Intragroup exchange,-4000.0,DKK
Dk3dsf23.03,Sale of Goods,326.6,DKK
"Microsoft*Store msbill.info, IE",Software and subscription services,-1.01,EUR
Dk-Ind07.06,Sale of Goods,133.5,DKK
Advis 122307130902090 / Credorax Bank Limite,Sale of Goods,5123.57,DKK
Dk3dsf22.08,Sale of Goods,864.0,DKK
Dk-Ind23.08,Sale of Goods,404.0,DKK
2000.00 EUR to UA Trading Company,Inventory / Equipment,2000.0,EUR
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind18.07,Sale of Goods,179.0,DKK
Dk-Ind30.07,Sale of Goods,505.8,DKK
Dk-Ind28.06,Sale of Goods,129.95,DKK
21401193MI 1030000759987688 ROLLZONE*,Inventory / Equipment,-538.45,EUR
Dk3dsf13.04,Sale of Goods,1703.0,DKK
"FACEBK 2G28HRBTK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
"Snap, 310-399-3339",Marketing and advertising,-10.33,DKK
Nets,Sale of Goods,5010.84,DKK
Dk3dsf15.08,Sale of Goods,543.59,DKK
Dk3dsf12.06,Sale of Goods,665.05,DKK
-50.00 EUR to Mohammad Umair,Nonbusiness costs,-50.0,EUR
Advis 122307171401475 / Credorax Bank Limite,Sale of Goods,5371.0,DKK
Dk3dsf16.06,Sale of Goods,3592.4,DKK
Nets,Sale of Goods,8293.72,DKK
Advis 122209081402065,Sale of Goods,143409.84,DKK
Advis 122305031202454 / Clearhaus AS,Sale of Goods,44728.94,DKK
Dk-Ind01.08,Sale of Goods,546.05,DKK
Dk-Ind19.05,Sale of Goods,278.9,DKK
Dk-Ind10.05,Sale of Goods,181.58,DKK
Dk3dsf11.04,Sale of Goods,185.8,DKK
Dk-Ind21.03,Sale of Goods,1063.5,DKK
Dk-Ind15.08,Sale of Goods,412.7,DKK
Dk-Ind17.07,Sale of Goods,222.55,DKK
MobilePay Kosmorama,Sale of Goods,-195.0,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,-88.75,DKK
LeverandørService 56294SM LOGISTIK APS,Shipping & Logistics,-16898.91,DKK
Dk3dsf29.06,Sale of Goods,260.7,DKK
Billig emballage,Inventory / Equipment,-1151.19,DKK
Advis 122210180140028,Sale of Goods,0.0,DKK
Advis 122303291206409 / OVERFØRSEL,Sale of Goods,672439.9,DKK
Dk-Ind12.04,Sale of Goods,492.65,DKK
Facebook Ads fra andet kort,Marketing and advertising,-6252.65,DKK
Dk-Ind09.05,Sale of Goods,165.1,DKK
Postering,Shipping & Logistics,2679.63,DKK
MXNEY Finance ApS. MXNEY Growth Capital,Loans/ Debts,22370.0,EUR
Dk-Ind12.06,Sale of Goods,290.55,DKK
-100.00 EUR to Mohammad Umair,Nonbusiness costs,-100.0,EUR
Dk-Ind21.07,Sale of Goods,339.4,DKK
Dk-Ind30.05,Sale of Goods,136.95,DKK
Dk-Ind05.04,Sale of Goods,408.25,DKK
Dk3dsf11.08,Sale of Goods,180.2,DKK
Dk3dsf01.05,Sale of Goods,325.0,DKK
Dk-Ind17.08,Sale of Goods,688.5,DKK
Nets,Sale of Goods,3090.42,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
Dk-Ind19.06,Sale of Goods,119.1,DKK
Dk3dsf04.05,Sale of Goods,265.45,DKK
-398.00 EUR to GoCardless,Loans/ Debts,-398.0,EUR
Dk-Ind16.08,Sale of Goods,524.95,DKK
"Ads4649893433, Internet",Marketing and advertising,0.0,DKK
faktura 22,Transfer,768.0,DKK
"FACEBK PJ36XLFXC2, fb.me/ads",Marketing and advertising,0.0,DKK
Dk3dsf17.03,Sale of Goods,1324.75,DKK
Dk-Ind25.04,Sale of Goods,363.33,DKK
Dk-Ind22.05,Sale of Goods,166.05,DKK
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
-1700.00 EUR to UA Trading Company,Inventory / Equipment,-1700.0,EUR
"Snap, 310-399-3339",Marketing and advertising,0.0,DKK
CONTENTADLIBITUM.DK\Gunnar Clausens Vej 68\VIBY\,Marketing and advertising,-9998.75,DKK
"Snap, 310-399-3339",Marketing and advertising,-25.0,DKK
"FACEBK XWKLBNXSK2, fb.me/ads",Marketing and advertising,0.0,DKK
Dk-Ind16.06,Sale of Goods,379.4,DKK
PBS overførsel Reference,Transfer,-338.14,DKK
Dk-Ind28.06,Sale of Goods,499.43,DKK
Dk3dsf03.08,Sale of Goods,760.85,DKK
Dk-Ind10.08,Sale of Goods,507.1,DKK
"FACEBK NN4B7FPTK2, fb.me/ads",Marketing and advertising,-60.0,DKK
Advis 122211221202249,Sale of Goods,19937.6,DKK
"FACEBK VMFP9RPTK2, fb.me/ads",Marketing and advertising,-6000.0,DKK
Dk3dsf24.05,Sale of Goods,1070.25,DKK
